name,time,application,num_replicas,batch_size,duration,num_task
inference-cifar10-1,1,infer-cifar10-4,1,1,26.0,8453
inference-bert-2,3,infer-bert-4,1,1,26.0,1514
inference-cifar10-3,5,infer-cifar10-2,1,1,11.0,4947
inference-ncf-4,6,infer-ncf-5,1,1,10.0,1937
inference-imagenet-5,6,infer-imagenet-2,1,1,29.0,8956
inference-cifar10-7,7,infer-cifar10-3,1,1,17.0,2063
inference-deepspeech2-6,7,infer-deepspeech2-3,1,1,16.0,762
inference-yolov3-8,8,infer-yolov3-5,1,1,3.0,860
inference-yolov3-9,11,infer-yolov3-1,1,1,26.0,38
inference-deepspeech2-10,12,infer-deepspeech2-1,1,1,29.0,971
inference-yolov3-11,14,infer-yolov3-2,1,1,24.0,8
inference-ncf-12,16,infer-ncf-2,1,1,16.0,180
inference-yolov3-13,19,infer-yolov3-2,1,1,10.0,530
inference-yolov3-14,21,infer-yolov3-4,1,1,22.0,4165
inference-yolov3-15,22,infer-yolov3-5,1,1,25.0,124
inference-bert-17,25,infer-bert-1,1,1,25.0,1112
inference-ncf-16,25,infer-ncf-1,1,1,6.0,3488
inference-ncf-18,27,infer-ncf-3,1,1,13.0,3666
inference-yolov3-19,29,infer-yolov3-4,1,1,7.0,4736
inference-deepspeech2-20,32,infer-deepspeech2-4,1,1,10.0,381
inference-imagenet-21,35,infer-imagenet-2,1,1,11.0,2664
inference-yolov3-22,35,infer-yolov3-2,1,1,20.0,3867
inference-deepspeech2-23,36,infer-deepspeech2-2,1,1,3.0,903
inference-yolov3-24,37,infer-yolov3-5,1,1,3.0,1675
inference-yolov3-25,40,infer-yolov3-3,1,1,2.0,3998
inference-ncf-26,42,infer-ncf-1,1,1,16.0,311
inference-ncf-27,46,infer-ncf-5,1,1,7.0,2445
inference-yolov3-28,47,infer-yolov3-4,1,1,9.0,1264
inference-yolov3-29,49,infer-yolov3-2,1,1,8.0,1981
inference-deepspeech2-30,50,infer-deepspeech2-5,1,1,26.0,562
inference-cifar10-31,51,infer-cifar10-5,1,1,21.0,963
inference-deepspeech2-33,58,infer-deepspeech2-1,1,1,8.0,123
inference-cifar10-34,58,infer-cifar10-5,1,1,1.0,2027
inference-ncf-32,58,infer-ncf-5,1,1,19.0,1973
inference-bert-35,62,infer-bert-3,1,1,25.0,3912
inference-ncf-36,65,infer-ncf-3,1,1,12.0,2575
inference-deepspeech2-37,66,infer-deepspeech2-1,1,1,2.0,903
inference-cifar10-39,71,infer-cifar10-3,1,1,17.0,4947
inference-bert-38,71,infer-bert-5,1,1,25.0,3024
inference-yolov3-40,72,infer-yolov3-2,1,1,7.0,2114
inference-yolov3-41,73,infer-yolov3-2,1,1,2.0,162
inference-ncf-42,79,infer-ncf-4,1,1,19.0,4564
inference-deepspeech2-43,81,infer-deepspeech2-4,1,1,15.0,183
inference-cifar10-44,82,infer-cifar10-5,1,1,4.0,1878
inference-cifar10-45,83,infer-cifar10-4,1,1,12.0,9796
inference-imagenet-46,83,infer-imagenet-3,1,1,21.0,1956
inference-bert-47,84,infer-bert-4,1,1,22.0,4939
inference-ncf-48,89,infer-ncf-3,1,1,28.0,3890
inference-bert-49,90,infer-bert-5,1,1,20.0,1721
inference-yolov3-50,96,infer-yolov3-1,1,1,22.0,1865
inference-yolov3-53,97,infer-yolov3-4,1,1,11.0,860
inference-deepspeech2-51,97,infer-deepspeech2-4,1,1,23.0,955
inference-bert-52,97,infer-bert-1,1,1,22.0,1551
inference-ncf-54,101,infer-ncf-2,1,1,12.0,1042
inference-bert-55,102,infer-bert-1,1,1,23.0,3599
inference-bert-56,104,infer-bert-5,1,1,24.0,1175
inference-deepspeech2-57,107,infer-deepspeech2-2,1,1,20.0,726
cifar10-0,107,cifar10,6,2048,4.0,-1
inference-ncf-58,108,infer-ncf-2,1,1,24.0,2445
inference-ncf-59,108,infer-ncf-2,1,1,26.0,1400
inference-yolov3-60,108,infer-yolov3-1,1,1,8.0,3217
inference-cifar10-61,109,infer-cifar10-3,1,1,27.0,7180
deepspeech2-1,110,deepspeech2,6,320,4.0,-1
inference-ncf-62,113,infer-ncf-4,1,1,19.0,1618
inference-ncf-63,117,infer-ncf-3,1,1,20.0,404
inference-ncf-65,124,infer-ncf-3,1,1,8.0,3353
inference-cifar10-64,124,infer-cifar10-3,1,1,1.0,4718
inference-deepspeech2-66,127,infer-deepspeech2-2,1,1,19.0,791
inference-cifar10-67,129,infer-cifar10-3,1,1,24.0,8000
inference-yolov3-68,130,infer-yolov3-3,1,1,15.0,3308
inference-yolov3-69,132,infer-yolov3-3,1,1,1.0,1080
inference-cifar10-70,133,infer-cifar10-4,1,1,11.0,2044
inference-deepspeech2-71,134,infer-deepspeech2-4,1,1,22.0,507
ncf-2,135,ncf,1,32768,4.0,-1
inference-ncf-72,141,infer-ncf-2,1,1,24.0,2668
inference-bert-73,143,infer-bert-2,1,1,2.0,3912
inference-deepspeech2-74,143,infer-deepspeech2-2,1,1,22.0,767
inference-imagenet-75,146,infer-imagenet-1,1,1,28.0,4747
inference-bert-77,149,infer-bert-1,1,1,27.0,1924
inference-ncf-76,149,infer-ncf-1,1,1,16.0,3890
inference-imagenet-78,152,infer-imagenet-5,1,1,25.0,9125
inference-ncf-79,152,infer-ncf-5,1,1,13.0,715
inference-imagenet-80,153,infer-imagenet-4,1,1,13.0,8916
inference-cifar10-81,154,infer-cifar10-4,1,1,11.0,2470
inference-deepspeech2-82,156,infer-deepspeech2-1,1,1,18.0,959
inference-yolov3-83,163,infer-yolov3-4,1,1,15.0,4466
inference-deepspeech2-84,164,infer-deepspeech2-5,1,1,18.0,381
inference-bert-85,165,infer-bert-5,1,1,25.0,1997
inference-cifar10-86,166,infer-cifar10-5,1,1,17.0,7495
inference-ncf-87,166,infer-ncf-1,1,1,21.0,91
inference-deepspeech2-88,167,infer-deepspeech2-2,1,1,16.0,487
inference-yolov3-89,170,infer-yolov3-5,1,1,14.0,576
inference-deepspeech2-90,171,infer-deepspeech2-2,1,1,1.0,971
inference-imagenet-91,171,infer-imagenet-4,1,1,21.0,3881
inference-imagenet-92,172,infer-imagenet-4,1,1,16.0,6571
inference-bert-93,173,infer-bert-4,1,1,10.0,1788
inference-cifar10-94,174,infer-cifar10-1,1,1,15.0,7852
inference-yolov3-95,177,infer-yolov3-3,1,1,6.0,3539
inference-cifar10-96,178,infer-cifar10-2,1,1,1.0,6435
inference-ncf-97,180,infer-ncf-1,1,1,29.0,1146
inference-imagenet-98,180,infer-imagenet-5,1,1,24.0,533
inference-yolov3-99,180,infer-yolov3-4,1,1,23.0,3314
inference-cifar10-100,181,infer-cifar10-3,1,1,19.0,6670
inference-bert-101,183,infer-bert-1,1,1,21.0,2818
inference-ncf-102,183,infer-ncf-1,1,1,28.0,1399
inference-deepspeech2-103,189,infer-deepspeech2-3,1,1,23.0,37
inference-bert-104,190,infer-bert-3,1,1,24.0,1012
inference-ncf-105,191,infer-ncf-2,1,1,1.0,831
inference-imagenet-107,197,infer-imagenet-5,1,1,8.0,8572
inference-imagenet-106,197,infer-imagenet-2,1,1,22.0,3696
inference-bert-108,197,infer-bert-4,1,1,13.0,2667
inference-ncf-109,200,infer-ncf-1,1,1,3.0,1618
inference-imagenet-110,201,infer-imagenet-4,1,1,23.0,7344
